Wall time,Step,Value
1760340041.3962061,1,0.4657895267009735
1760340257.8833683,2,0.0
1760340484.1246095,3,0.0
1760340752.2338128,4,0.0
1760341023.634354,5,0.0
1760341294.7337027,6,0.0
1760341565.9554331,7,1.5
1760341778.9437168,8,0.0
1760342051.4567783,9,0.0
1760342287.4950452,10,0.8571428656578064
1760342559.5339348,11,0.0
1760342796.2482748,12,0.0
1760343069.0617735,13,0.0
1760343339.5874994,14,0.0
1760343612.1294746,15,0.0
1760343863.3840315,16,0.0
1760344133.131685,17,0.0
1760344362.3741345,18,0.0
1760344635.7239068,19,0.0
1760344833.0062675,20,0.0
1760345065.2991855,21,0.0
1760345287.5064604,22,0.0
1760345559.9656448,23,0.5
1760345831.7292674,24,0.0
1760346056.2677844,25,1.0909091234207153
1760346276.4347446,26,0.0
1760346549.2550275,27,0.0
1760346777.6238966,28,0.0
1760347049.7343438,29,0.0
1760347317.3249938,30,0.0
1760347604.368981,31,0.0
1760347882.240154,32,0.0
1760348145.2843335,33,0.0
1760348397.726713,34,0.0
1760348623.254169,35,0.375
1760348837.7846842,36,0.0
1760349111.4100978,37,0.0
1760349329.225828,38,0.0
1760349554.8999748,39,0.0
1760349828.1691592,40,0.0
1760350089.944871,41,0.0
1760350362.0845082,42,1.5
1760350635.7331913,43,0.0
1760350875.0360274,44,0.0
1760351132.4973063,45,0.0
1760351405.8026164,46,0.0
1760351637.3670678,47,2.0892856121063232
1760351851.900739,48,0.0
1760352106.1261928,49,0.30000001192092896
1760352321.2894416,50,0.0
1760352592.824086,51,0.0
1760352866.0614672,52,0.0
1760353098.9944732,53,0.5454545617103577
1760353322.415991,54,0.0
1760353579.403921,55,2.6883115768432617
1760353761.545004,56,0.0
1760354034.822282,57,0.0
1760354309.7742462,58,0.0
1760354546.9331522,59,0.0
1760354819.0035644,60,0.0
1760355074.8554935,61,0.0
1760355324.1541612,62,0.0
1760355537.8754258,63,2.9476451873779297
1760355809.256887,64,0.0
1760356052.9754484,65,0.0
1760356324.3773673,66,0.0
1760356556.9441366,67,0.0
1760356778.2322779,68,0.0
1760357048.4607425,69,0.0
1760357320.2782478,70,0.0
1760357593.2900696,71,0.0
1760357866.6427932,72,0.0
1760358138.4423585,73,0.0
1760358361.8602166,74,0.0
1760358632.6818557,75,0.0
1760358905.0427337,76,0.27272728085517883
1760359088.567309,77,0.0
1760359359.0818992,78,0.0
1760359630.6920092,79,0.0
1760359835.3124719,80,0.20000000298023224
1760359995.3138688,81,1.6636364459991455
1760360267.820227,82,0.0
1760360493.2667782,83,0.0
1760360724.9076006,84,0.0
1760360996.0333874,85,0.0
1760361268.5964112,86,0.0
1760361468.043947,87,0.5
1760361680.5127883,88,0.6315789818763733
1760361896.427487,89,0.0
1760362123.8953097,90,0.0
1760362328.8376095,91,0.0
1760362566.066015,92,0.0
1760362838.0603874,93,0.0
1760363110.6055105,94,0.23076923191547394
1760363364.2474082,95,0.0
1760363602.5462484,96,0.0
1760363840.0491502,97,0.0
1760364113.0776048,98,0.0
1760364342.3559103,99,0.0
1760364585.0676196,100,0.0
1760364856.388959,101,1.0
